Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year,NameProcessed
AAH,1020,1,Survey of Art & Arch Hist II,0.4,0.4,0.17,0.0,0.01,0.0,0.0,0.01,andrea feeser,False,AAH-1020,2018,True
AAH,2060,1,Art History and Theory II,0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,andrea feeser,False,AAH-2060,2018,True
ACCT,2010,1,Financial Accounting Concepts,0.13,0.31,0.29,0.1,0.17,0.0,0.0,0.0,emily suzan mccorkle,False,ACCT-2010,2018,True
ACCT,2010,2,Financial Accounting Concepts,0.33,0.38,0.16,0.04,0.07,0.0,0.0,0.02,lydia lanc schleifer,False,ACCT-2010,2018,True
ACCT,2010,3,Financial Accounting Concepts,0.28,0.22,0.34,0.08,0.08,0.0,0.0,0.0,annieka philo,False,ACCT-2010,2018,True
ACCT,2010,4,Financial Accounting Concepts,0.4,0.28,0.14,0.1,0.04,0.0,0.0,0.04,emily suzan mccorkle,False,ACCT-2010,2018,True
ACCT,2010,5,Financial Accounting Concepts,0.41,0.31,0.18,0.02,0.04,0.0,0.0,0.04,annieka philo,False,ACCT-2010,2018,True
ACCT,2010,6,Financial Accounting Concepts,0.43,0.31,0.1,0.02,0.06,0.0,0.0,0.08,lydia lanc schleifer,False,ACCT-2010,2018,True
ACCT,2010,7,Financial Accounting Concepts,0.31,0.52,0.04,0.02,0.08,0.0,0.0,0.02,lydia lanc schleifer,False,ACCT-2010,2018,True
ACCT,2010,8,Financial Accounting Concepts,0.37,0.35,0.16,0.04,0.04,0.0,0.0,0.04,emily suzan mccorkle,False,ACCT-2010,2018,True
ACCT,2010,9,Financial Accounting Concepts,0.3,0.32,0.22,0.04,0.1,0.0,0.0,0.02,emily suzan mccorkle,False,ACCT-2010,2018,True
ACCT,2010,10,Financial Accounting Concepts,0.18,0.36,0.24,0.12,0.08,0.0,0.0,0.02,james barnes,False,ACCT-2010,2018,True
ACCT,2010,11,Financial Accounting Concepts,0.3,0.36,0.2,0.06,0.08,0.0,0.0,0.0,rebecca pennell trax,False,ACCT-2010,2018,True
ACCT,2010,12,Financial Accounting Concepts,0.37,0.31,0.18,0.06,0.04,0.0,0.0,0.04,rebecca pennell trax,False,ACCT-2010,2018,True
ACCT,2010,13,Financial Accounting Concepts,0.49,0.24,0.1,0.07,0.05,0.0,0.0,0.05,charles tegen,False,ACCT-2010,2018,True
ACCT,2010,14,Financial Accounting Concepts,0.29,0.29,0.32,0.03,0.06,0.0,0.0,0.0,philip maiberger,False,ACCT-2010,2018,True
ACCT,2010,15,Financial Accounting Concepts,0.24,0.43,0.14,0.1,0.05,0.0,0.0,0.05,lisa whea birtwistle,False,ACCT-2010,2018,True
ACCT,2010,16,Financial Accounting Concepts,0.12,0.38,0.22,0.08,0.16,0.0,0.0,0.04,james barnes,False,ACCT-2010,2018,True
ACCT,2010,101,Fin Acct Concepts (HON),0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,lisa whea birtwistle,True,ACCT-2010,2018,True
ACCT,2010,401,Financial Accounting Concepts,0.31,0.48,0.1,0.08,0.01,0.0,0.0,0.02,jeffrey mcmillan,False,ACCT-2010,2018,True
ACCT,2020,1,Managerial Accounting Concepts,0.17,0.34,0.17,0.03,0.06,0.0,0.0,0.23,henry anderson,False,ACCT-2020,2018,True
