Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1020,1,Survey of Art & Arch Hist II,0.46,0.42,0.11,0.0,0.0,0.0,0.0,0.01,beth ann lauritis,False,AAH-1020,2019
AAH,2060,1,Art History and Theory II,0.76,0.24,0.0,0.0,0.0,0.0,0.0,0.0,andrea feeser,False,AAH-2060,2019
ACCT,2010,1,Financial Accounting Concepts,0.61,0.2,0.1,0.05,0.0,0.0,0.02,0.02,emily suza mccorkle,False,ACCT-2010,2019
ACCT,2010,2,Financial Accounting Concepts,0.31,0.43,0.19,0.05,0.02,0.0,0.0,0.0,emily suza mccorkle,False,ACCT-2010,2019
ACCT,2010,3,Financial Accounting Concepts,0.18,0.52,0.2,0.05,0.02,0.0,0.0,0.02,lydia lan schleifer,False,ACCT-2010,2019
ACCT,2010,4,Financial Accounting Concepts,0.45,0.33,0.1,0.03,0.03,0.0,0.0,0.08,annieka philo,False,ACCT-2010,2019
ACCT,2010,5,Financial Accounting Concepts,0.3,0.43,0.15,0.08,0.03,0.0,0.0,0.03,annieka philo,False,ACCT-2010,2019
ACCT,2010,6,Financial Accounting Concepts,0.2,0.43,0.25,0.05,0.03,0.0,0.0,0.05,annieka philo,False,ACCT-2010,2019
ACCT,2010,7,Financial Accounting Concepts,0.16,0.48,0.23,0.02,0.07,0.0,0.0,0.05,lydia lan schleifer,False,ACCT-2010,2019
ACCT,2010,8,Financial Accounting Concepts,0.07,0.4,0.37,0.07,0.02,0.0,0.0,0.07,lydia lan schleifer,False,ACCT-2010,2019
ACCT,2010,9,Financial Accounting Concepts,0.35,0.33,0.2,0.03,0.1,0.0,0.0,0.0,annieka philo,False,ACCT-2010,2019
ACCT,2010,10,Financial Accounting Concepts,0.16,0.25,0.25,0.09,0.09,0.0,0.0,0.16,mary ann  prater,False,ACCT-2010,2019
ACCT,2010,11,Financial Accounting Concepts,0.31,0.4,0.11,0.03,0.06,0.0,0.0,0.09,charles tegen,False,ACCT-2010,2019
ACCT,2010,12,Financial Accounting Concepts,0.3,0.38,0.13,0.0,0.08,0.0,0.0,0.13,lisa whe birtwistle,False,ACCT-2010,2019
ACCT,2010,13,Financial Accounting Concepts,0.41,0.31,0.21,0.03,0.0,0.0,0.05,0.0,lisa whe birtwistle,False,ACCT-2010,2019
ACCT,2010,14,Financial Accounting Concepts,0.46,0.36,0.13,0.0,0.05,0.0,0.0,0.0,lisa whe birtwistle,False,ACCT-2010,2019
ACCT,2010,15,Financial Accounting Concepts,0.34,0.39,0.15,0.07,0.05,0.0,0.0,0.0,james barnes,False,ACCT-2010,2019
ACCT,2010,16,Financial Accounting Concepts,0.37,0.33,0.14,0.05,0.07,0.0,0.0,0.05,james barnes,False,ACCT-2010,2019
ACCT,2010,17,Financial Accounting Concepts,0.0,0.34,0.41,0.07,0.07,0.0,0.0,0.1,lydia lan schleifer,False,ACCT-2010,2019
ACCT,2010,101,Fin Acct Concepts (HON),0.73,0.18,0.0,0.0,0.0,0.0,0.0,0.09,mary ann  prater,True,ACCT-2010,2019
ACCT,2010,401,Financial Accounting Concepts,0.29,0.36,0.18,0.06,0.08,0.0,0.0,0.03,jeffrey mcmillan,False,ACCT-2010,2019
ACCT,2020,1,Managerial Accounting Concepts,0.25,0.25,0.29,0.04,0.07,0.0,0.0,0.11,henry anderson,False,ACCT-2020,2019
ACCT,2020,2,Managerial Accounting Concepts,0.34,0.26,0.26,0.06,0.03,0.0,0.0,0.06,henry anderson,False,ACCT-2020,2019
ACCT,2020,3,Managerial Accounting Concepts,0.41,0.31,0.13,0.05,0.0,0.0,0.03,0.08,henry anderson,False,ACCT-2020,2019
ACCT,2020,4,Managerial Accounting Concepts,0.29,0.36,0.24,0.05,0.05,0.0,0.0,0.02,emily suza mccorkle,False,ACCT-2020,2019
ACCT,2020,5,Managerial Accounting Concepts,0.33,0.4,0.14,0.05,0.0,0.0,0.05,0.02,emily suza mccorkle,False,ACCT-2020,2019
ACCT,2020,6,Managerial Accounting Concepts,0.31,0.27,0.25,0.1,0.02,0.0,0.0,0.04,phebia davis-culler,False,ACCT-2020,2019
ACCT,2020,7,Managerial Accounting Concepts,0.23,0.38,0.17,0.09,0.0,0.0,0.13,0.0,phebia davis-culler,False,ACCT-2020,2019
ACCT,2020,8,Managerial Accounting Concepts,0.16,0.23,0.37,0.09,0.0,0.0,0.09,0.05,phebia davis-culler,False,ACCT-2020,2019
ACCT,2020,401,Managerial Accounting Concepts,0.28,0.35,0.22,0.04,0.01,0.0,0.0,0.11,henry anderson,False,ACCT-2020,2019
