Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year,NameProcessed
AAH,1010,1.0,Survey of Art & Arch Histor,0.51,0.4,0.04,0.02,0.0,0.0,0.0,0.03,beth ann lauritis,False,AAH-1010,2020,True
AAH,2050,1.0,Art History and Theory I,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,beth ann lauritis,False,AAH-2050,2020,True
AAH,3050,1.0,Contemporary Art History,0.58,0.37,0.0,0.05,0.0,0.0,0.0,0.0,andrea feeser,False,AAH-3050,2020,True
ACCT,2010,1.0,Financial Accounting Conc,0.36,0.38,0.2,0.02,0.02,0.0,0.0,0.02,lydia schleifer,False,ACCT-2010,2020,True
ACCT,2010,2.0,Financial Accounting Conc,0.44,0.31,0.15,0.02,0.04,0.0,0.0,0.05,lydia schleifer,False,ACCT-2010,2020,True
ACCT,2010,3.0,Financial Accounting Conc,0.17,0.32,0.25,0.07,0.12,0.0,0.0,0.07,robert wahlman,False,ACCT-2010,2020,True
ACCT,2010,4.0,Financial Accounting Conc,0.26,0.26,0.26,0.13,0.03,0.0,0.0,0.08,charles tegen,False,ACCT-2010,2020,True
ACCT,2010,5.0,Financial Accounting Conc,0.41,0.36,0.13,0.03,0.05,0.0,0.0,0.03,charles tegen,False,ACCT-2010,2020,True
ACCT,2010,6.0,Financial Accounting Conc,0.45,0.33,0.05,0.05,0.05,0.0,0.0,0.08,julie grant,False,ACCT-2010,2020,True
ACCT,2010,7.0,Financial Accounting Conc,0.21,0.44,0.31,0.03,0.0,0.0,0.0,0.03,julie grant,False,ACCT-2010,2020,True
ACCT,2010,8.0,Financial Accounting Conc,0.51,0.33,0.07,0.07,0.0,0.0,0.0,0.02,lydia schleifer,False,ACCT-2010,2020,True
ACCT,2010,9.0,Financial Accounting Conc,0.38,0.3,0.18,0.1,0.05,0.0,0.0,0.0,julie grant,False,ACCT-2010,2020,True
ACCT,2010,10.0,Financial Accounting Conc,0.5,0.2,0.23,0.08,0.0,0.0,0.0,0.0,julie grant,False,ACCT-2010,2020,True
ACCT,2010,11.0,Financial Accounting Conc,0.35,0.31,0.21,0.04,0.08,0.0,0.0,0.0,lisa birtwistle,False,ACCT-2010,2020,True
ACCT,2010,12.0,Financial Accounting Conc,0.28,0.39,0.25,0.0,0.03,0.0,0.0,0.03,lisa birtwistle,False,ACCT-2010,2020,True
ACCT,2010,13.0,Financial Accounting Conc,0.34,0.39,0.13,0.03,0.05,0.0,0.0,0.05,lisa birtwistle,False,ACCT-2010,2020,True
ACCT,2010,14.0,Financial Accounting Conc,0.18,0.32,0.28,0.1,0.0,0.0,0.0,0.12,jeffrey mcmillan,False,ACCT-2010,2020,True
ACCT,2010,15.0,Financial Accounting Conc,0.23,0.34,0.31,0.03,0.0,0.0,0.0,0.09,carl hollingsworth,False,ACCT-2010,2020,True
ACCT,2010,400.0,Financial Accounting Conc,0.09,0.28,0.36,0.12,0.05,0.0,0.0,0.1,jeffrey mcmillan,False,ACCT-2010,2020,True
ACCT,2010,401.0,Financial Accounting Conc,0.26,0.21,0.26,0.11,0.09,0.0,0.0,0.07,emily mccorkle,False,ACCT-2010,2020,True
ACCT,2020,1.0,Managerial Accounting Co,0.38,0.43,0.18,0.03,0.0,0.0,0.0,0.0,robin radtke,False,ACCT-2020,2020,True
