Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1020,1,Survey of Art & Arch Hist II,0.49,0.38,0.11,0.0,0.01,0.0,0.0,0.01,beth ann lauritis,,AAH-1020,2014
AAH,2060,1,Art History and Theory II,0.86,0.14,0.0,0.0,0.0,0.0,0.0,0.0,andrea feeser,,AAH-2060,2014
AAH,2100,1,Intro to Art and Architecture,0.46,0.27,0.19,0.0,0.0,0.0,0.0,0.08,janet bever leblanc,,AAH-2100,2014
AAH,2100,2,Intro to Art and Architecture,0.39,0.32,0.21,0.07,0.0,0.0,0.0,0.0,janet bever leblanc,,AAH-2100,2014
AAH,2100,3,Intro to Art and Architecture,0.33,0.22,0.22,0.07,0.0,0.0,0.0,0.15,janet bever leblanc,,AAH-2100,2014
AAH,2100,4,Intro to Art and Architecture,0.24,0.38,0.21,0.03,0.0,0.0,0.0,0.14,janet bever leblanc,,AAH-2100,2014
ACCT,2010,1,Financial Accounting Concepts,0.14,0.32,0.26,0.08,0.08,0.0,0.0,0.12,suzanne pearse,,ACCT-2010,2014
ACCT,2010,2,Financial Accounting Concepts,0.08,0.25,0.35,0.15,0.1,0.0,0.0,0.08,henry anderson,,ACCT-2010,2014
ACCT,2010,3,Financial Accounting Concepts,0.15,0.24,0.33,0.11,0.02,0.0,0.0,0.15,suzanne pearse,,ACCT-2010,2014
ACCT,2010,4,Financial Accounting Concepts,0.2,0.34,0.18,0.09,0.05,0.0,0.0,0.14,the estate  guffey,,ACCT-2010,2014
ACCT,2010,5,Financial Accounting Concepts,0.09,0.26,0.33,0.02,0.16,0.0,0.0,0.14,henry anderson,,ACCT-2010,2014
ACCT,2010,6,Financial Accounting Concepts,0.17,0.26,0.28,0.09,0.11,0.0,0.0,0.11,suzanne pearse,,ACCT-2010,2014
ACCT,2010,7,Financial Accounting Concepts,0.23,0.23,0.32,0.11,0.04,0.0,0.0,0.06,suzanne pearse,,ACCT-2010,2014
ACCT,2010,8,Financial Accounting Concepts,0.11,0.24,0.2,0.04,0.2,0.0,0.0,0.2,henry anderson,,ACCT-2010,2014
ACCT,2010,9,Financial Accounting Concepts,0.07,0.34,0.23,0.14,0.07,0.0,0.0,0.16,the estate  guffey,,ACCT-2010,2014
ACCT,2010,10,Financial Accounting Concepts,0.13,0.38,0.18,0.11,0.04,0.0,0.0,0.16,the estate  guffey,,ACCT-2010,2014
ACCT,2010,11,Financial Accounting Concepts,0.12,0.27,0.29,0.11,0.09,0.0,0.0,0.12,jeffrey mcmillan,,ACCT-2010,2014
ACCT,2020,1,Managerial Accounting Concepts,0.25,0.4,0.17,0.1,0.06,0.0,0.0,0.02,annieka philo,,ACCT-2020,2014
ACCT,2020,2,Managerial Accounting Concepts,0.29,0.38,0.25,0.04,0.02,0.0,0.0,0.02,annieka philo,,ACCT-2020,2014
ACCT,2020,3,Managerial Accounting Concepts,0.23,0.29,0.31,0.06,0.08,0.0,0.0,0.02,annieka philo,,ACCT-2020,2014
ACCT,2020,4,Managerial Accounting Concepts,0.31,0.37,0.14,0.1,0.08,0.0,0.0,0.0,annieka philo,,ACCT-2020,2014
ACCT,2020,5,Managerial Accounting Concepts,0.27,0.29,0.16,0.02,0.03,0.0,0.0,0.23,henry anderson,,ACCT-2020,2014
ACCT,2020,6,Managerial Accounting Concepts,0.18,0.19,0.19,0.09,0.05,0.0,0.0,0.3,henry anderson,,ACCT-2020,2014
ACCT,2040,1,ACCT 2040: 001,0.53,0.29,0.08,0.03,0.06,0.0,0.0,0.01,jeffrey mcmillan,,ACCT-2040,2014
ACCT,2040,2,ACCT 2040: 002,0.37,0.36,0.11,0.04,0.06,0.0,0.0,0.07,jeffrey mcmillan,,ACCT-2040,2014
ACCT,3030,1,Cost Accounting,0.26,0.37,0.2,0.03,0.06,0.0,0.0,0.09,derek dalton,,ACCT-3030,2014
ACCT,3030,2,Cost Accounting,0.17,0.4,0.31,0.11,0.0,0.0,0.0,0.0,derek dalton,,ACCT-3030,2014
ACCT,3030,3,Cost Accounting,0.18,0.63,0.05,0.03,0.08,0.0,0.0,0.03,robin radtke,,ACCT-3030,2014
ACCT,3030,4,Cost Accounting,0.31,0.49,0.1,0.03,0.08,0.0,0.0,0.0,robin radtke,,ACCT-3030,2014
ACCT,3110,1,Intermed Financial Acct I,0.22,0.41,0.3,0.07,0.0,0.0,0.0,0.0,terry daniel knause,,ACCT-3110,2014
ACCT,3110,2,Intermed Financial Acct I,0.52,0.36,0.07,0.02,0.02,0.0,0.0,0.0,terry daniel knause,,ACCT-3110,2014
ACCT,3110,3,Intermed Financial Acct I,0.55,0.24,0.19,0.0,0.0,0.0,0.0,0.02,terry daniel knause,,ACCT-3110,2014
ACCT,3110,4,Intermed Financial Acct I,0.59,0.24,0.1,0.0,0.02,0.0,0.0,0.05,terry daniel knause,,ACCT-3110,2014
ACCT,3120,1,Intermed Financial Acct II,0.18,0.54,0.15,0.1,0.03,0.0,0.0,0.0, russell madray,,ACCT-3120,2014
ACCT,3120,2,Intermed Financial Acct II,0.3,0.46,0.19,0.03,0.0,0.0,0.0,0.03, russell madray,,ACCT-3120,2014
ACCT,3120,3,Intermed Financial Acct II,0.15,0.21,0.36,0.06,0.0,0.0,0.0,0.21,lydia lan schleifer,,ACCT-3120,2014
ACCT,3120,4,Intermed Financial Acct II,0.15,0.36,0.3,0.0,0.12,0.0,0.0,0.06,lydia lan schleifer,,ACCT-3120,2014
ACCT,3130,1,Intermed Financial Acct III,0.17,0.46,0.23,0.11,0.0,0.0,0.0,0.03, russell madray,,ACCT-3130,2014
ACCT,3130,2,Intermed Financial Acct III,0.51,0.22,0.22,0.03,0.03,0.0,0.0,0.0, russell madray,,ACCT-3130,2014
ACCT,3130,3,Intermed Financial Acct III,0.33,0.19,0.37,0.07,0.04,0.0,0.0,0.0,james irving,,ACCT-3130,2014
ACCT,3130,4,Intermed Financial Acct III,0.17,0.5,0.33,0.0,0.0,0.0,0.0,0.0,james irving,,ACCT-3130,2014
ACCT,3220,1,Accounting Information Systems,0.03,0.47,0.26,0.12,0.06,0.0,0.0,0.06,philip maiberger,,ACCT-3220,2014
ACCT,3220,2,Accounting Information Systems,0.16,0.26,0.35,0.13,0.06,0.0,0.0,0.03,philip maiberger,,ACCT-3220,2014
ACCT,3220,3,Accounting Information Systems,0.25,0.33,0.25,0.08,0.03,0.0,0.0,0.06,nancy lee harp,,ACCT-3220,2014
ACCT,4040,1,Individual Taxation,0.3,0.45,0.2,0.05,0.0,0.0,0.0,0.0,john hine,,ACCT-4040,2014
ACCT,4040,2,Individual Taxation,0.32,0.39,0.24,0.03,0.0,0.0,0.0,0.03,john hine,,ACCT-4040,2014
ACCT,4080,1,Retire & Estate Plan,0.29,0.38,0.33,0.0,0.0,0.0,0.0,0.0,john hine,,ACCT-4080,2014
ACCT,4100,1,Budget and Exec Cont,0.46,0.41,0.07,0.05,0.0,0.0,0.0,0.0,frances kennedy,,ACCT-4100,2014
ACCT,4100,2,Budget and Exec Cont,0.64,0.25,0.11,0.0,0.0,0.0,0.0,0.0,frances kennedy,,ACCT-4100,2014
ACCT,4150,1,Auditing,0.09,0.31,0.41,0.09,0.06,0.0,0.0,0.03,suzanne pearse,,ACCT-4150,2014
ACCT,4150,2,Auditing,0.15,0.15,0.35,0.25,0.1,0.0,0.0,0.0,carl hollingsworth,,ACCT-4150,2014
ACCT,8520,1,ACCT 8520: 001,0.36,0.61,0.03,0.0,0.0,0.0,0.0,0.0,ralph welton,,ACCT-8520,2014
ACCT,8520,2,ACCT 8520: 002,0.28,0.53,0.17,0.0,0.03,0.0,0.0,0.0,ralph welton,,ACCT-8520,2014
ACCT,8550,1,ACCT 8550: 001,0.66,0.29,0.03,0.0,0.03,0.0,0.0,0.0,james barnes,,ACCT-8550,2014
