Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
AAH,1010,1.0,Survey of Art & Arch Histor,0.51,0.4,0.04,0.02,0.0,0%,0.0,0.03,beth ann lauritis,,AAH-1010,2020
AAH,2050,1.0,Art History and Theory I,0.91,0.0,0.0,0.0,0.0,0%,0.0,0.0,beth ann lauritis,,AAH-2050,2020
AAH,3050,1.0,Contemporary Art History,0.58,0.37,0.0,0.05,0.0,0%,0.0,0.0,andrea feeser,,AAH-3050,2020
ACCT,2010,1.0,Financial Accounting Conc,0.36,0.38,0.2,0.02,0.02,0%,0.0,0.02,lydia schleifer,,ACCT-2010,2020
ACCT,2010,2.0,Financial Accounting Conc,0.44,0.31,0.15,0.02,0.04,0%,0.0,0.05,lydia schleifer,,ACCT-2010,2020
ACCT,2010,3.0,Financial Accounting Conc,0.17,0.32,0.25,0.07,0.12,0%,0.0,0.07,robert wahlman,,ACCT-2010,2020
ACCT,2010,4.0,Financial Accounting Conc,0.26,0.26,0.26,0.13,0.03,0%,0.0,0.08,charles tegen,,ACCT-2010,2020
ACCT,2010,5.0,Financial Accounting Conc,0.41,0.36,0.13,0.03,0.05,0%,0.0,0.03,charles tegen,,ACCT-2010,2020
ACCT,2010,6.0,Financial Accounting Conc,0.45,0.33,0.05,0.05,0.05,0%,0.0,0.08,julie grant,,ACCT-2010,2020
ACCT,2010,7.0,Financial Accounting Conc,0.21,0.44,0.31,0.03,0.0,0%,0.0,0.03,julie grant,,ACCT-2010,2020
ACCT,2010,8.0,Financial Accounting Conc,0.51,0.33,0.07,0.07,0.0,0%,0.0,0.02,lydia schleifer,,ACCT-2010,2020
ACCT,2010,9.0,Financial Accounting Conc,0.38,0.3,0.18,0.1,0.05,0%,0.0,0.0,julie grant,,ACCT-2010,2020
ACCT,2010,10.0,Financial Accounting Conc,0.5,0.2,0.23,0.08,0.0,0%,0.0,0.0,julie grant,,ACCT-2010,2020
ACCT,2010,11.0,Financial Accounting Conc,0.35,0.31,0.21,0.04,0.08,0%,0.0,0.0,lisa birtwistle,,ACCT-2010,2020
ACCT,2010,12.0,Financial Accounting Conc,0.28,0.39,0.25,0.0,0.03,0%,0.0,0.03,lisa birtwistle,,ACCT-2010,2020
ACCT,2010,13.0,Financial Accounting Conc,0.34,0.39,0.13,0.03,0.05,0%,0.0,0.05,lisa birtwistle,,ACCT-2010,2020
ACCT,2010,14.0,Financial Accounting Conc,0.18,0.32,0.28,0.1,0.0,0%,0.0,0.12,jeffrey mcmillan,,ACCT-2010,2020
ACCT,2010,15.0,Financial Accounting Conc,0.23,0.34,0.31,0.03,0.0,0%,0.0,0.09,carl hollingsworth,,ACCT-2010,2020
ACCT,2010,400.0,Financial Accounting Conc,0.09,0.28,0.36,0.12,0.05,0%,0.0,0.1,jeffrey mcmillan,,ACCT-2010,2020
ACCT,2010,401.0,Financial Accounting Conc,0.26,0.21,0.26,0.11,0.09,0%,0.0,0.07,emily mccorkle,,ACCT-2010,2020
ACCT,2020,1.0,Managerial Accounting Co,0.38,0.43,0.18,0.03,0.0,0%,0.0,0.0,robin radtke,,ACCT-2020,2020
ACCT,2020,2.0,Managerial Accounting Co,0.4,0.28,0.18,0.03,0.03,0%,0.0,0.1,robin radtke,,ACCT-2020,2020
ACCT,2020,3.0,Managerial Accounting Co,0.21,0.13,0.3,0.11,0.09,0%,0.0,0.15,brian todd carver,,ACCT-2020,2020
ACCT,2020,4.0,Managerial Accounting Co,0.12,0.29,0.19,0.12,0.1,0%,0.0,0.17,brian todd carver,,ACCT-2020,2020
ACCT,2020,400.0,Managerial Accounting Co,0.23,0.49,0.23,0.0,0.0,0%,0.0,0.05,robin radtke,,ACCT-2020,2020
ACCT,2020,401.0,Managerial Accounting Co,0.28,0.33,0.17,0.1,0.05,0%,0.0,0.07,emily mccorkle,,ACCT-2020,2020
ACCT,2020,402.0,Managerial Accounting Co,0.33,0.22,0.28,0.05,0.03,0%,0.0,0.09,emily mccorkle,,ACCT-2020,2020
ACCT,2020,403.0,Managerial Accounting Co,0.1,0.4,0.15,0.2,0.08,0%,0.0,0.08,emily mccorkle,,ACCT-2020,2020
ACCT,2020,404.0,Managerial Accounting Co,0.1,0.28,0.26,0.13,0.08,0%,0.0,0.15,emily mccorkle,,ACCT-2020,2020
ACCT,3030,1.0,Cost Accounting,0.38,0.35,0.23,0.03,0.03,0%,0.0,0.0,daniel thomas way,,ACCT-3030,2020
ACCT,3030,2.0,Cost Accounting,0.25,0.33,0.35,0.03,0.03,0%,0.0,0.03,daniel thomas way,,ACCT-3030,2020
